PseudoTicket,Action,Type,Symbol,Lots,Date,Price
94,OPEN,SELL,EURUSD,1.0,2011-09-26 08:55:30,1.3456900000000001
94,CLOSE,SELL,EURUSD,1.0,2011-09-26 09:41:24,1.34551
95,OPEN,SELL,EURUSD,1.0,2011-09-30 07:10:04,1.34938
95,CLOSE,SELL,EURUSD,1.0,2011-09-30 12:17:08,1.35036
96,OPEN,SELL,EURUSD,1.0,2011-10-03 18:18:53,1.32382
96,CLOSE,SELL,EURUSD,1.0,2011-10-03 19:25:48,1.3207500000000001
97,OPEN,SELL,EURUSD,1.0,2011-10-04 16:09:28,1.3304499999999999
97,CLOSE,SELL,EURUSD,1.0,2011-10-04 16:42:19,1.32918
98,OPEN,BUY,EURUSD,1.0,2011-10-07 07:22:54,1.34636
98,CLOSE,BUY,EURUSD,1.0,2011-10-07 07:49:07,1.34405
99,OPEN,SELL,EURUSD,1.0,2011-10-10 01:37:33,1.3459000000000001
100,OPEN,SELL,EURUSD,1.0,2011-10-10 14:08:04,1.3655299999999999
100,CLOSE,SELL,EURUSD,1.0,2011-10-10 22:42:15,1.3632899999999999
99,CLOSE,SELL,EURUSD,1.0,2011-10-11 01:02:18,1.36277
101,OPEN,BUY,EURUSD,1.0,2011-10-11 08:56:08,1.35995
101,CLOSE,BUY,EURUSD,1.0,2011-10-11 09:17:24,1.3599000000000001
102,OPEN,BUY,EURUSD,1.0,2011-10-11 10:28:46,1.35975
102,CLOSE,BUY,EURUSD,1.0,2011-10-11 15:58:40,1.36585
103,OPEN,BUY,EURUSD,1.0,2011-10-12 08:15:59,1.3728199999999999
103,CLOSE,BUY,EURUSD,1.0,2011-10-12 08:21:18,1.3737999999999999
104,OPEN,BUY,EURUSD,1.0,2011-10-13 07:27:46,1.3819300000000001
104,CLOSE,BUY,EURUSD,1.0,2011-10-13 08:05:47,1.37923
105,OPEN,SELL,EURUSD,1.0,2011-10-13 09:34:00,1.3734500000000001
105,CLOSE,SELL,EURUSD,1.0,2011-10-13 10:06:28,1.3721099999999999
106,OPEN,SELL,EURUSD,1.0,2011-10-14 05:57:31,1.3785000000000001
106,CLOSE,SELL,EURUSD,1.0,2011-10-14 08:32:56,1.3808199999999999
107,OPEN,BUY,EURUSD,1.0,2011-10-14 13:15:06,1.38507
107,CLOSE,BUY,EURUSD,1.0,2011-10-14 14:31:03,1.38727
108,OPEN,SELL,EURUSD,1.0,2011-10-25 12:03:39,1.3913
108,CLOSE,SELL,EURUSD,1.0,2011-10-25 12:26:54,1.3915900000000001
109,OPEN,BUY,EURUSD,1.0,2011-10-27 03:00:14,1.39581
109,CLOSE,BUY,EURUSD,1.0,2011-10-27 04:30:33,1.3968100000000001
110,OPEN,BUY,EURUSD,1.0,2011-10-28 07:42:16,1.4167400000000001
110,CLOSE,BUY,EURUSD,1.0,2011-10-28 08:41:04,1.41822
111,OPEN,BUY,EURUSD,1.0,2011-10-28 10:26:26,1.4150499999999999
111,CLOSE,BUY,EURUSD,1.0,2011-10-28 12:32:40,1.41679
112,OPEN,BUY,EURUSD,1.0,2011-10-30 23:43:13,1.4146399999999999
112,CLOSE,BUY,EURUSD,1.0,2011-10-31 02:19:00,1.4079200000000001
113,OPEN,BUY,EURUSD,1.0,2011-11-01 12:40:36,1.3656900000000001
114,OPEN,BUY,EURUSD,1.0,2011-11-01 12:42:23,1.3649100000000001
115,OPEN,BUY,EURUSD,1.0,2011-11-01 13:14:55,1.36277
115,CLOSE,BUY,EURUSD,1.0,2011-11-01 14:27:11,1.3674900000000001
113,CLOSE,BUY,EURUSD,1.0,2011-11-01 14:28:52,1.3681000000000001
114,CLOSE,BUY,EURUSD,1.0,2011-11-01 14:28:52,1.3681000000000001
116,OPEN,BUY,EURUSD,1.0,2011-11-02 13:35:53,1.3827700000000001
116,CLOSE,BUY,EURUSD,1.0,2011-11-02 16:16:24,1.377
117,OPEN,SELL,EURUSD,1.0,2011-11-04 12:46:23,1.38212
118,OPEN,SELL,EURUSD,1.0,2011-11-04 14:10:35,1.37354
117,CLOSE,SELL,EURUSD,1.0,2011-11-04 15:28:01,1.3740399999999999
118,CLOSE,SELL,EURUSD,1.0,2011-11-04 15:46:51,1.3761699999999999
119,OPEN,SELL,EURUSD,1.0,2011-11-08 08:00:55,1.37262
119,CLOSE,SELL,EURUSD,1.0,2011-11-08 08:09:08,1.37469
120,OPEN,SELL,EURUSD,1.0,2011-11-09 09:06:59,1.37676
121,OPEN,SELL,EURUSD,1.0,2011-11-09 09:10:56,1.3759600000000001
122,OPEN,SELL,EURUSD,1.0,2011-11-09 09:12:50,1.37571
120,CLOSE,SELL,EURUSD,1.0,2011-11-09 09:45:18,1.3720399999999999
121,CLOSE,SELL,EURUSD,1.0,2011-11-09 10:40:19,1.3667
122,CLOSE,SELL,EURUSD,1.0,2011-11-09 12:02:00,1.3626100000000001
123,OPEN,BUY,EURUSD,1.0,2011-11-09 14:46:44,1.3560000000000001
123,CLOSE,BUY,EURUSD,1.0,2011-11-09 15:52:31,1.3593
124,OPEN,BUY,EURUSD,1.0,2011-11-09 22:03:43,1.35422
125,OPEN,BUY,EURUSD,1.0,2011-11-10 00:29:30,1.3520799999999999
125,CLOSE,BUY,EURUSD,1.0,2011-11-10 01:48:48,1.35395
124,CLOSE,BUY,EURUSD,1.0,2011-11-10 01:51:04,1.3543400000000001
126,OPEN,SELL,EURUSD,1.0,2011-11-10 09:49:43,1.361
126,CLOSE,SELL,EURUSD,1.0,2011-11-10 10:41:24,1.357
127,OPEN,SELL,EURUSD,1.0,2011-11-11 11:38:12,1.3642099999999999
128,OPEN,SELL,EURUSD,1.0,2011-11-11 14:12:13,1.3678399999999999
128,CLOSE,SELL,EURUSD,1.0,2011-11-11 15:35:37,1.37195
127,CLOSE,SELL,EURUSD,1.0,2011-11-11 15:35:41,1.3717299999999999
129,OPEN,SELL,EURUSD,1.0,2011-11-14 09:23:58,1.3690800000000001
129,CLOSE,SELL,EURUSD,1.0,2011-11-14 09:55:59,1.3696200000000001
130,OPEN,BUY,EURUSD,1.0,2011-11-14 10:06:42,1.3684700000000001
130,CLOSE,BUY,EURUSD,1.0,2011-11-14 10:59:52,1.3696699999999999
131,OPEN,BUY,EURUSD,1.0,2011-11-14 14:17:03,1.36374
