Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1336942553574,12085602,BUY,AUD/USD,1,2012/05/14 07:38:53,2012/05/15 06:12:53,0.99856,1.00008,16,-41,5.71,15.2,157.71
400.1336942906387,12102466,BUY,AUD/USD,1,2012/05/15 01:42:29,2012/05/15 04:13:09,0.99582,0.99759,20,-9,0,17.7,177
400.1336942568009,12087399,BUY,AUD/USD,1,2012/05/14 08:24:17,2012/05/14 12:15:58,0.99687,0.99846,18,-7,0,15.9,159
400.1336339742303,12054186,BUY,GBP/USD,1,2012/05/11 10:26:18,2012/05/11 14:32:48,1.61047,1.61075,10,-44,0,2.8,28
400.1336339787165,12057084,BUY,GBP/USD,1,2012/05/11 12:37:47,2012/05/11 14:25:22,1.60926,1.6103,13,-32,0,10.4,104
400.1336339679292,12047153,BUY,GBP/USD,1,2012/05/11 07:21:26,2012/05/11 08:48:02,1.61055,1.61243,22,-6,0,18.8,188
400.1336339586196,12036255,BUY,GBP/USD,1,2012/05/11 05:41:20,2012/05/11 06:49:23,1.6115,1.61225,8,-18,0,7.5,75
400.1336339186998,12002245,SELL,AUD/USD,1,2012/05/10 07:01:52,2012/05/10 08:12:57,1.01189,1.00895,33,-3,0,29.4,294
400.1336338793969,11961033,BUY,USD/JPY,1,2012/05/09 11:34:40,2012/05/09 22:57:06,79.474,79.632,26,-5,0,15.8,198.41
400.1336338322199,11923508,BUY,GBP/USD,1,2012/05/08 12:25:31,2012/05/08 15:40:19,1.6137,1.61536,19,-12,0,16.6,166
400.1336338206484,11911621,BUY,GBP/USD,1,2012/05/08 06:49:15,2012/05/08 11:17:25,1.61581,1.61529,3,-34,0,-5.2,-52
400.1336338221224,11912886,BUY,GBP/USD,1,2012/05/08 07:32:40,2012/05/08 11:08:30,1.6143,1.61491,12,-19,0,6.1,61
400.1336338263604,11917541,BUY,GBP/USD,1,2012/05/08 09:33:04,2012/05/08 11:07:54,1.61281,1.61478,21,-4,0,19.7,197
400.1336338181484,11910119,SELL,AUD/USD,1,2012/05/08 05:39:16,2012/05/08 06:34:01,1.01929,1.0179,17,-3,0,13.9,139
400.1336337858254,11887597,SELL,EUR/USD,1,2012/05/07 13:20:18,2012/05/08 03:20:06,1.30453,1.30314,15,-21,0.21,13.9,139.21
400.1336337970750,11897084,SELL,AUD/USD,1,2012/05/07 18:55:41,2012/05/08 01:34:37,1.02093,1.01768,35,-10,-18.89,32.5,306.11
400.1336337860064,11888011,SELL,EUR/USD,1,2012/05/07 13:27:55,2012/05/07 13:55:57,1.3054,1.30445,10,-7,0,9.5,95
400.1336337568993,11855025,BUY,AUD/USD,1,2012/05/06 23:06:04,2012/05/07 06:11:21,1.01326,1.01464,15,-23,0,13.8,138
400.1336337592236,11857235,BUY,AUD/USD,1,2012/05/07 00:10:34,2012/05/07 03:16:00,1.01176,1.01375,22,-8,0,19.9,199
400.1335734916178,11835436,BUY,AUD/USD,1,2012/05/04 14:39:04,2012/05/04 16:10:53,1.01844,1.01949,12,-2,0,10.5,105
400.1335734931147,11837526,SELL,EUR/USD,1,2012/05/04 15:23:57,2012/05/04 15:45:56,1.31025,1.30894,18,-6,0,13.1,131
400.1335733809316,11732616,SELL,EUR/USD,1,2012/05/02 07:45:13,2012/05/03 05:18:01,1.31933,1.31469,70,-3,0.63,46.4,464.63
400.1335733948965,11748733,SELL,EUR/USD,1,2012/05/02 14:20:35,2012/05/03 02:10:23,1.31526,1.31391,15,-16,0.63,13.5,135.63
400.1335733808679,11732290,SELL,EUR/USD,1,2012/05/02 07:43:22,2012/05/02 09:26:39,1.32039,1.3143,66,-5,0,60.9,609
400.1335733797130,11730835,SELL,USD/JPY,1,2012/05/02 07:10:07,2012/05/02 07:25:49,80.575,80.483,10,-2,0,9.2,114.31
400.1335733323247,11695872,BUY,USD/JPY,1,2012/05/01 07:10:10,2012/05/01 23:07:07,79.671,80.141,62,-4,0,47,586.47
400.1335129965386,11647668,SELL,GBP/USD,1,2012/04/27 07:43:54,2012/05/01 04:35:57,1.61749,1.6226,1,-128,-4.81,-51.1,-515.81
400.1335129547256,11627335,SELL,GBP/USD,1,2012/04/27 09:40:53,2012/05/01 03:27:21,1.623,1.62305,15,-72,-4.81,-0.5,-9.81
400.1335130081119,11657979,SELL,GBP/USD,1,2012/04/27 13:15:08,2012/04/30 15:28:23,1.62488,1.62332,20,-54,-2.41,15.6,153.59
400.1335129910878,11642449,BUY,USD/JPY,1,2012/04/27 05:05:28,2012/04/27 07:37:49,80.883,80.619,4,-28,0,-26.4,-327.47
400.1335129463791,11621883,SELL,GBP/USD,1,2012/04/26 06:39:44,2012/04/27 06:20:28,1.61856,1.61574,29,-23,-2.39,28.2,279.61
400.1335129081800,11606678,SELL,EUR/USD,1,2012/04/25 11:33:31,2012/04/25 16:33:07,1.32038,1.31997,21,-23,0,4.1,41
400.1335128512094,11585643,SELL,GBP/USD,1,2012/04/24 06:50:07,2012/04/24 13:50:19,1.61361,1.61334,4,-29,0,2.7,27
400.1335128607866,11589840,SELL,GBP/USD,1,2012/04/24 11:38:19,2012/04/24 13:48:30,1.61608,1.6141,29,-3,0,19.8,198
400.1334664023093,11541836,SELL,GBP/USD,1,2012/04/20 10:46:56,2012/04/23 11:11:29,1.61118,1.60844,32,-40,-2.42,27.4,271.58
